Model,pre-processing,Accuracy,Accuracy-1,Accuracy-2,Accuracy-3
cnn,Nothing,"77,00%","0,77","0,76","0,780"
fast_text,Nothing,"69,00%","0,71","0,68","0,680"
cnn_lstm,Nothing,"75,33%","0,76","0,75","0,750"
bi_lstm,Nothing,"74,33%","0,77","0,72","0,740"
lstm,Nothing,"63,67%","0,65","0,65","0,610"
kim,Nothing,"66,33%","0,68","0,65","0,660"
cnn,st,"77,33%","0,78","0,77","0,77"
fast_text,st,"69,67%","0,70","0,68","0,71"
cnn_lstm,st,"74,00%","0,71","0,76","0,75"
bi_lstm,st,"72,33%","0,75","0,73","0,69"
lstm,st,"64,67%","0,65","0,66","0,63"
kim,st,"65,33%","0,64","0,66","0,66"
cnn,st_sw,"75,33%","0,76","0,75","0,75"
fast_text,st_sw,"70,67%","0,71","0,71","0,7"
cnn_lstm,st_sw,"73,00%","0,75","0,72","0,72"
bi_lstm,st_sw,"70,33%","0,68","0,72","0,71"
lstm,st_sw,"64,67%","0,66","0,64","0,64"
kim,st_sw,"65,33%","0,64","0,67","0,65"
cnn,st_sw_cl,"76,47%","0,76","0,78","0,75"
fast_text,st_sw_cl,"70,00%","0,72","0,71","0,67"
cnn_lstm,st_sw_cl,"72,67%","0,74","0,72","0,72"
bi_lstm,st_sw_cl,"72,33%","0,73","0,71","0,73"
lstm,st_sw_cl,"64,50%","0,66","0,62","0,66"
kim,st_sw_cl,"64,07%","0,64","0,64","0,64"
cnn,st_sw_cl_mt,"77,67%","0,76","0,79","0,78"
fast_text,st_sw_cl_mt,"70,00%","0,71","0,68","0,71"
cnn_lstm,st_sw_cl_mt,"74,00%","0,79","0,74","0,69"
bi_lstm,st_sw_cl_mt,"70,00%","0,72","0,68","0,7"
lstm,st_sw_cl_mt,"61,67%","0,62","0,61","0,62"
kim,st_sw_cl_mt,"64,67%","0,67","0,67","0,6"
cnn,st_sw_cl_mt_num,"77,00%","0,76","0,77","0,78"
fast_text,st_sw_cl_mt_num,"72,33%","0,72","0,72","0,73"
cnn_lstm,st_sw_cl_mt_num,"74,00%","0,71","0,74","0,77"
bi_lstm,st_sw_cl_mt_num,"72,33%","0,71","0,71","0,75"
lstm,st_sw_cl_mt_num,"63,43%","0,62","0,63","0,653"
kim,st_sw_cl_mt_num,"61,33%","0,62","0,61","0,61"
cnn,st_sw_cl_mt_num_em,"76,00%","0,77","0,74","0,77"
fast_text,st_sw_cl_mt_num_em,"70,67%","0,69","0,73","0,7"
cnn_lstm,st_sw_cl_mt_num_em,"76,00%","0,74","0,76","0,78"
bi_lstm,st_sw_cl_mt_num_em,"72,33%","0,70","0,74","0,73"
lstm,st_sw_cl_mt_num_em,"62,00%","0,61","0,62","0,63"
kim,st_sw_cl_mt_num_em,"62,67%","0,62","0,66","0,6"
cnn,st_sw_cl_mt_num_em_ht,"72,33%","0,74","0,72","0,71"
fast_text,st_sw_cl_mt_num_em_ht,"67,33%","0,67","0,66","0,69"
cnn_lstm,st_sw_cl_mt_num_em_ht,"71,67%","0,71","0,70","0,74"
bi_lstm,st_sw_cl_mt_num_em_ht,"70,33%","0,68","0,70","0,73"
lstm,st_sw_cl_mt_num_em_ht,"63,33%","0,67","0,62","0,61"
kim,st_sw_cl_mt_num_em_ht,"61,67%","0,63","0,59","0,63"
cnn,sw_cl_mt_num_em_ht,"76,67%","0,78","0,80","0,72"
fast_text,sw_cl_mt_num_em_ht,"71,00%","0,73","0,68","0,72"
cnn_lstm,sw_cl_mt_num_em_ht,"75,00%","0,77","0,76","0,72"
bi_lstm,sw_cl_mt_num_em_ht,"74,67%","0,74","0,74","0,76"
lstm,sw_cl_mt_num_em_ht,"64,67%","0,64","0,66","0,64"
kim,sw_cl_mt_num_em_ht,"64,33%","0,60","0,67","0,66"
cnn,cl,"78,33%","0,77","0,77","0,81"
fast_text,cl,"71,00%","0,72","0,69","0,72"
cnn_lstm,cl,"73,33%","0,73","0,74","0,73"
bi_lstm,cl,"72,33%","0,76","0,68","0,73"
lstm,cl,"64,00%","0,62","0,64","0,66"
kim,cl,"66,33%","0,64","0,66","0,69"
cnn,cl_mt_num_em,"77,33%","0,80","0,75","0,77"
fast_text,cl_mt_num_em,"68,33%","0,68","0,67","0,7"
cnn_lstm,cl_mt_num_em,"72,00%","0,71","0,75","0,7"
bi_lstm,cl_mt_num_em,"71,33%","0,69","0,72","0,73"
lstm,cl_mt_num_em,"65,67%","0,65","0,66","0,66"
kim,cl_mt_num_em,"64,33%","0,67","0,61","0,65"
cnn,cl_em,"77,00%","0,79","0,76","0,76"
fast_text,cl_em,"69,67%","0,72","0,69","0,68"
cnn_lstm,cl_em,"74,67%","0,76","0,72","0,76"
bi_lstm,cl_em,"71,33%","0,72","0,70","0,72"
lstm,cl_em,"63,67%","0,67","0,61","0,63"
kim,cl_em,"65,67%","0,66","0,68","0,63"
