model_name;cleaning_function;mean_accuracy;std_accuracy
lstm;nothing;0,648148148148;0,00277159806428
cnn;nothing;0,783703703704;0,0182649303792
b_lstm;nothing;0,738518518519;0,00857469400207
cnn_lstm;nothing;0,731851851852;0,0151082059662
fast_text;nothing;0,711851851852;0,0294997151878
kim;nothing;0,713333333333;0,0101023568126
lstm;sub_smiley;0,644444444444;0,0101023568126
cnn;sub_smiley;0,780740740741;0,0120811158743
b_lstm;sub_smiley;0,73037037037;0,00554319612855
cnn_lstm;sub_smiley;0,78;0,00907218423253
fast_text;sub_smiley;0,69037037037;0,00857469400207
kim;sub_smiley;0,697037037037;0,0164637857562
lstm;stemming;0,642962962963;0,00913246518958
cnn;stemming;0,755555555556;0,00480054866549
b_lstm;stemming;0,717037037037;0,019230748127
cnn_lstm;stemming;0,751851851852;0,0164637857562
fast_text;stemming;0,703703703704;0,0152167693216
kim;stemming;0,683703703704;0,0281286482164
lstm;sub_hashtags;0,657777777778;0,00628539361055
cnn;sub_hashtags;0,776296296296;0,0147777313654
b_lstm;sub_hashtags;0,715555555556;0,00362887369301
cnn_lstm;sub_hashtags;0,758518518519;0,0203939257747
fast_text;sub_hashtags;0,691111111111;0,0292005975473
kim;sub_hashtags;0,695555555556;0,0445923464986
lstm;sub_numbers;0,676296296296;0,0199862778715
cnn;sub_numbers;0,768888888889;0,00790894685336
b_lstm;sub_numbers;0,740740740741;0,00999313893573
cnn_lstm;sub_numbers;0,752592592593;0,0123506162967
fast_text;sub_numbers;0,703703703704;0,0231177578286
kim;sub_numbers;0,679259259259;0,0199862778715
lstm;stop_words;0,64;0,00480054866549
cnn;stop_words;0,77037037037;0,0190587856745
b_lstm;stop_words;0,737037037037;0,0246345024419
cnn_lstm;stop_words;0,742962962963;0,0210297326912
fast_text;stop_words;0,695555555556;0,0158178937067
kim;stop_words;0,712592592593;0,0137386940674
lstm;remove_url;0,646666666667;0,0127010579255
cnn;remove_url;0,81037037037;0,0145532464477
b_lstm;remove_url;0,723703703704;0,0233303937008
cnn_lstm;remove_url;0,74962962963;0,022831162974
fast_text;remove_url;0,714074074074;0,0154316049304
kim;remove_url;0,684444444444;0,00480054866549
lstm;removed_reserved_words;0,661481481481;0,0212632593991
cnn;removed_reserved_words;0,782962962963;0,00818174890162
b_lstm;removed_reserved_words;0,746666666667;0,0249443825785
cnn_lstm;removed_reserved_words;0,744444444444;0,0144016459965
fast_text;removed_reserved_words;0,707407407407;0,0223943947523
kim;removed_reserved_words;0,714814814815;0,0145532464477
lstm;sub_mentions;0,647407407407;0,0208725967461
cnn;sub_mentions;0,765925925926;0,0186219334666
b_lstm;sub_mentions;0,748888888889;0,0412160822022
cnn_lstm;sub_mentions;0,737037037037;0,0182649303792
fast_text;sub_mentions;0,697037037037;0,00818174890162
kim;sub_mentions;0,686666666667;0,0226623089493
lstm;sub_emoji;0,663703703704;0,00456623259479
cnn;sub_emoji;0,8;0,00942809041582
b_lstm;sub_emoji;0,72962962963;0,0210297326912
cnn_lstm;sub_emoji;0,757037037037;0,0103173246498
fast_text;sub_emoji;0,695555555556;0,022073576927
kim;sub_emoji;0,691111111111;0,0204476648027
model_name;cleaning_function;mean_accuracy;std_accuracy
