Model,pre-processing,F-score(avg),F-score,F-score,F-score
cnn,Nothing,"54,33%","0,55","0,54","0,540"
fast_text,Nothing,"47,67%","0,4","0,51","0,520"
cnn_lstm,Nothing,"60,00%","0,55","0,57","0,680"
bi_lstm,Nothing,"54,00%","0,55","0,53","0,540"
lstm,Nothing,"47,67%","0,49","0,47","0,470"
kim,Nothing,"49,00%","0,51","0,47","0,490"
cnn,st,"55,67%","0,52","0,55","0,6"
fast_text,st,"32,42%","0,45","0,49",0.47
cnn_lstm,st,"65,00%","0,63","0,72","0,6"
bi_lstm,st,"54,00%","0,55","0,53","0,54"
lstm,st,"45,00%","0,43","0,47","0,45"
kim,st,"49,33%","0,47","0,52","0,49"
cnn,st_sw,"54,00%","0,55","0,55","0,52"
fast_text,st_sw,"45,67%","0,47","0,46","0,44"
cnn_lstm,st_sw,"64,33%","0,66","0,64","0,63"
bi_lstm,st_sw,"52,67%","0,53","0,52","0,53"
lstm,st_sw,"46,00%","0,45","0,47","0,46"
kim,st_sw,"48,00%","0,49","0,50","0,45"
cnn,st_sw_cl,"54,33%","0,55","0,54","0,54"
fast_text,st_sw_cl,"45,00%","0,45","0,48","0,42"
cnn_lstm,st_sw_cl,"50,00%","0,54","0,49","0,47"
bi_lstm,st_sw_cl,"58,00%","0,61","0,53","0,6"
lstm,st_sw_cl,"44,33%","0,45","0,42","0,46"
kim,st_sw_cl,"50,00%","0,53","0,53","0,44"
cnn,st_sw_cl_mt,"53,33%","0,54","0,52","0,54"
fast_text,st_sw_cl_mt,"43,33%","0,47","0,43","0,4"
cnn_lstm,st_sw_cl_mt,"48,67%","0,49","0,49","0,48"
bi_lstm,st_sw_cl_mt,"55,33%","0,59","0,55","0,52"
lstm,st_sw_cl_mt,"44,00%","0,45","0,42","0,45"
kim,st_sw_cl_mt,"44,33%","0,42","0,45","0,46"
cnn,st_sw_cl_mt_num,"53,00%","0,50","0,54","0,55"
fast_text,st_sw_cl_mt_num,"44,67%","0,51","0,43","0,4"
cnn_lstm,st_sw_cl_mt_num,"50,00%","0,55","0,47","0,48"
bi_lstm,st_sw_cl_mt_num,"53,33%","0,54","0,54","0,52"
lstm,st_sw_cl_mt_num,"46,00%","0,46","0,47","0,45"
kim,st_sw_cl_mt_num,"45,67%","0,44","0,45","0,48"
cnn,st_sw_cl_mt_num_em,"52,67%","0,52","0,52","0,54"
fast_text,st_sw_cl_mt_num_em,"43,67%","0,38","0,49","0,44"
cnn_lstm,st_sw_cl_mt_num_em,"47,67%","0,51","0,45","0,47"
bi_lstm,st_sw_cl_mt_num_em,"54,00%","0,54","0,55","0,53"
lstm,st_sw_cl_mt_num_em,"43,33%","0,43","0,43","0,44"
kim,st_sw_cl_mt_num_em,"46,67%","0,52","0,43","0,45"
cnn,st_sw_cl_mt_num_em_ht,"48,67%","0,49","0,50","0,47"
fast_text,st_sw_cl_mt_num_em_ht,"37,67%","0,37","0,38","0,38"
cnn_lstm,st_sw_cl_mt_num_em_ht,"47,67%","0,50","0,47","0,46"
bi_lstm,st_sw_cl_mt_num_em_ht,"50,33%","0,49","0,49","0,53"
lstm,st_sw_cl_mt_num_em_ht,"45,67%","0,46","0,47","0,44"
kim,st_sw_cl_mt_num_em_ht,"46,67%","0,45","0,46","0,49"
cnn,sw_cl_mt_num_em_ht,"51,67%","0,57","0,49","0,49"
fast_text,sw_cl_mt_num_em_ht,"39,00%","0,42","0,35","0,4"
cnn_lstm,sw_cl_mt_num_em_ht,"48,67%","0,49","0,49","0,48"
bi_lstm,sw_cl_mt_num_em_ht,"51,00%","0,53","0,51","0,49"
lstm,sw_cl_mt_num_em_ht,"44,67%","0,44","0,42","0,48"
kim,sw_cl_mt_num_em_ht,"48,00%","0,51","0,45","0,48"
cnn,cl,"55,67%","0,57","0,55","0,55"
fast_text,cl,"44,67%","0,46","0,41","0,47"
cnn_lstm,cl,"53,00%","0,51","0,58","0,5"
bi_lstm,cl,"53,67%","0,53","0,53","0,55"
lstm,cl,"47,67%","0,48","0,48","0,47"
kim,cl,"48,67%","0,5","0,47","0,49"
cnn,cl_mt_num_em,"54,67%","0,55","0,55","0,54"
fast_text,cl_mt_num_em,"46,67%","0,46","0,49","0,45"
cnn_lstm,cl_mt_num_em,"49,00%","0,50","0,49","0,48"
bi_lstm,cl_mt_num_em,"54,33%","0,55","0,55","0,53"
lstm,cl_mt_num_em,"47,00%","0,45","0,49","0,47"
kim,cl_mt_num_em,"52,33%","0,51","0,49","0,57"
cnn,cl_em,"56,00%","0,56","0,56","0,56"
fast_text,cl_em,"47,00%","0,46","0,49","0,46"
cnn_lstm,cl_em,"49,67%","0,48","0,50","0,51"
bi_lstm,cl_em,"53,67%","0,55","0,54","0,52"
lstm,cl_em,"48,33%","0,48","0,48","0,49"
kim,cl_em,"55,67%","0,60","0,51","0,56"
