Model,pre-processing,F-score(avg),F-score,F-score,F-score
cnn,Nothing,"55,33%","0,52","0,58","0,560"
fast_text,Nothing,"42,00%","0,46","0,37","0,430"
cnn_lstm,Nothing,"51,67%","0,47","0,51","0,570"
bi_lstm,Nothing,"51,00%","0,52","0,54","0,470"
lstm,Nothing,"40,00%","0,41","0,35","0,440"
kim,Nothing,"42,00%","0,47","0,41","0,380"
cnn,st,"54,67%","0,50","0,55","0,59"
fast_text,st,"43,67%","0,50","0,42","0,39"
cnn_lstm,st,"50,00%","0,44","0,54","0,52"
bi_lstm,st,"55,00%","0,55","0,52","0,58"
lstm,st,"32,33%","0,38","0,32","0,27"
kim,st,"29,67%","0,26","0,30","0,33"
cnn,st_sw,"54,33%","0,55","0,50","0,58"
fast_text,st_sw,"42,00%","0,40","0,43","0,43"
cnn_lstm,st_sw,"54,67%","0,53","0,59","0,52"
bi_lstm,st_sw,"55,00%","0,54","0,52","0,59"
lstm,st_sw,"34,00%","0,36","0,33","0,33"
kim,st_sw,"26,67%","0,27","0,27","0,26"
cnn,st_sw_cl,"35,01%",0.58,"0,51","0,5"
fast_text,st_sw_cl,"41,67%","0,38","0,42","0,45"
cnn_lstm,st_sw_cl,"52,33%","0,47","0,58","0,52"
bi_lstm,st_sw_cl,"56,33%","0,57","0,55","0,57"
lstm,st_sw_cl,"35,00%","0,36","0,35","0,34"
kim,st_sw_cl,"29,67%","0,27","0,30","0,32"
cnn,st_sw_cl_mt,"50,67%","0,51","0,51","0,5"
fast_text,st_sw_cl_mt,"39,00%","0,38","0,41","0,38"
cnn_lstm,st_sw_cl_mt,"49,33%","0,50","0,48","0,5"
bi_lstm,st_sw_cl_mt,"56,33%","0,52","0,60","0,57"
lstm,st_sw_cl_mt,"33,00%","0,30","0,33","0,36"
kim,st_sw_cl_mt,"28,33%","0,25","0,27","0,33"
cnn,st_sw_cl_mt_num,"52,00%","0,48","0,56","0,52"
fast_text,st_sw_cl_mt_num,"36,33%","0,36","0,37","0,36"
cnn_lstm,st_sw_cl_mt_num,"46,33%","0,50","0,45","0,44"
bi_lstm,st_sw_cl_mt_num,"54,00%","0,55","0,51","0,56"
lstm,st_sw_cl_mt_num,"26,33%","0,25","0,28","0,26"
kim,st_sw_cl_mt_num,"30,33%","0,35","0,31","0,25"
cnn,st_sw_cl_mt_num_em,"48,33%","0,51","0,47","0,47"
fast_text,st_sw_cl_mt_num_em,"39,33%","0,42","0,34","0,42"
cnn_lstm,st_sw_cl_mt_num_em,"47,00%","0,47","0,46","0,48"
bi_lstm,st_sw_cl_mt_num_em,"38,01%","0,51","0,59",0.58
lstm,st_sw_cl_mt_num_em,"30,33%","0,29","0,32","0,3"
kim,st_sw_cl_mt_num_em,"30,00%","0,33","0,27","0,3"
cnn,st_sw_cl_mt_num_em_ht,"46,00%","0,45","0,48","0,45"
fast_text,st_sw_cl_mt_num_em_ht,"33,67%","0,33","0,34","0,34"
cnn_lstm,st_sw_cl_mt_num_em_ht,"47,00%","0,46","0,50","0,45"
bi_lstm,st_sw_cl_mt_num_em_ht,"44,00%","0,42","0,44","0,46"
lstm,st_sw_cl_mt_num_em_ht,"32,33%","0,37","0,30","0,3"
kim,st_sw_cl_mt_num_em_ht,"31,67%","0,26","0,33","0,36"
cnn,sw_cl_mt_num_em_ht,"46,33%","0,47","0,47","0,45"
fast_text,sw_cl_mt_num_em_ht,"34,33%","0,33","0,38","0,32"
cnn_lstm,sw_cl_mt_num_em_ht,"44,67%","0,45","0,42","0,47"
bi_lstm,sw_cl_mt_num_em_ht,"44,67%","0,46","0,44","0,44"
lstm,sw_cl_mt_num_em_ht,"41,00%","0,41","0,41","0,41"
kim,sw_cl_mt_num_em_ht,"44,33%","0,42","0,47","0,44"
cnn,cl,"49,67%","0,52","0,49","0,48"
fast_text,cl,"44,33%","0,44","0,44","0,45"
cnn_lstm,cl,"47,67%","0,49","0,45","0,49"
bi_lstm,cl,"51,00%","0,49","0,52","0,52"
lstm,cl,"40,33%","0,46","0,36","0,39"
kim,cl,"45,67%","0,45","0,49","0,43"
cnn,cl_mt_num_em,"53,67%","0,52","0,51","0,58"
fast_text,cl_mt_num_em,"41,67%","0,41","0,46","0,38"
cnn_lstm,cl_mt_num_em,"48,67%","0,49","0,48","0,49"
bi_lstm,cl_mt_num_em,"52,77%","0,53","0,56","0,49"
lstm,cl_mt_num_em,"39,33%","0,43","0,41","0,34"
kim,cl_mt_num_em,"43,67%","0,41","0,46","0,44"
cnn,cl_em,"48,67%","0,52","0,47","0,47"
fast_text,cl_em,"41,33%","0,40","0,40","0,44"
cnn_lstm,cl_em,"48,67%","0,48","0,51","0,47"
bi_lstm,cl_em,"51,67%","0,51","0,54","0,5"
lstm,cl_em,"39,33%","0,37","0,43","0,38"
kim,cl_em,"46,00%","0,50","0,43","0,45"
