model_name;cleaning_function;mean_accuracy;std_accuracy
lstm;nothing;0,420059865585;0,0091675475441
cnn;nothing;0,522585520187;0,00242234759168
b_lstm;nothing;0,531461435366;0,0402655743863
cnn_lstm;nothing;0,53711430678;0,0173463389535
fast_text;nothing;0,435439573755;0,00386904267273
kim;nothing;0,606451711547;0,02764065453
lstm;sub_smiley;0,355796105491;0,0325102369029
cnn;sub_smiley;0,536138047232;0,0335099315619
b_lstm;sub_smiley;0,543428496135;0,0139490977569
cnn_lstm;sub_smiley;0,510387655303;0,0319904251332
fast_text;sub_smiley;0,448592691215;0,00939338795292
kim;sub_smiley;0,585128489925;0,0334471943968
lstm;stemming;0,369158450058;0,0543966549508
cnn;stemming;0,518925873494;0,0352919093528
b_lstm;stemming;0,512335448012;0,0191816233613
cnn_lstm;stemming;0,532391624482;0,0180357964924
fast_text;stemming;0,43341138788;0,0156297773483
kim;stemming;0,615138821166;0,0589861658328
lstm;sub_hashtags;0,411427534751;0,0140580001255
cnn;sub_hashtags;0,482753453157;0,010900688597
b_lstm;sub_hashtags;0,471273102983;0,000617106722356
cnn_lstm;sub_hashtags;0,513958382475;0,0331924652928
fast_text;sub_hashtags;0,40599498784;0,0329644981229
kim;sub_hashtags;0,542828431861;0,00578529732556
lstm;sub_numbers;0,4153458531;0,0120342327915
cnn;sub_numbers;0,549400017394;0,0225029714183
b_lstm;sub_numbers;0,509352545556;0,00414151600603
cnn_lstm;sub_numbers;0,514269539324;0,007992408345
fast_text;sub_numbers;0,442144908616;0,0415504659937
kim;sub_numbers;0,569946561454;0,00688955961808
lstm;stop_words;0,427415641568;0,0123821223654
cnn;stop_words;0,574861660648;0,0182166828077
b_lstm;stop_words;0,551105667754;0,0121092221715
cnn_lstm;stop_words;0,506044975806;0,0151142446603
fast_text;stop_words;0,408344989596;0,0394861746042
kim;stop_words;0,590012878685;0,0255343307926
lstm;remove_url;0,408018596649;0,00625229580188
cnn;remove_url;0,546899227982;0,0407958318249
b_lstm;remove_url;0,557643375156;0,0174553012603
cnn_lstm;remove_url;0,500855450453;0,0104237422402
fast_text;remove_url;0,441963031461;0,0205699178249
kim;remove_url;0,584710891766;0,00731914920229
lstm;removed_reserved_words;0,442819826676;0,00848272396515
cnn;removed_reserved_words;0,546844368687;0,0313636623115
b_lstm;removed_reserved_words;0,5512738068;0,0348647188457
cnn_lstm;removed_reserved_words;0,536291405521;0,0384123098158
fast_text;removed_reserved_words;0,429417954782;0,0102922177176
kim;removed_reserved_words;0,577832440835;0,0362750034133
lstm;sub_mentions;0,39450764046;0,00568901099893
cnn;sub_mentions;0,477923555264;0,016351265095
b_lstm;sub_mentions;0,538677295443;0,039601430394
cnn_lstm;sub_mentions;0,523330231873;0,034313216569
fast_text;sub_mentions;0,406996806882;0,0244634879761
kim;sub_mentions;0,609566583585;0,00492672218032
lstm;sub_emoji;0,424323842602;0,0105236940362
cnn;sub_emoji;0,564034121312;0,0192692591912
b_lstm;sub_emoji;0,525106737031;0,0360124533982
cnn_lstm;sub_emoji;0,535303455684;0,0218312864201
fast_text;sub_emoji;0,416133130556;0,0300680061549
kim;sub_emoji;0,563762714094;0,0103296919021
